,Tokens,8
0,robot,9
1,welders,0
2,robot welders,0
3,virtual,20
4,reality,2
5,virtual reality,1
6,automation,2
7,automated,17
8,research,23
9,design,348
10,development,70
11,testing,80
12,digital,691
13,technology,1605
14, ag ,762
15,sustainable,7
16,intellectual,1
17,property,57
18,intellectual property,1
19, iot ,0
20,industry 4.0,0
21,industry 5.0,0
22,industry,56
23,team,83
24,learn,138
25,train,1099
26,flexible,33
27,quality,107
28,resources,282
29, smb ,0
30,programming,14
31,advance technology,0
32,compliance,8
33,industrial,204
34,automotive,3
35,recreational,8
36,transportation,7
37,detection,6
38,cyber,0
39,physical,7
40,cyber physical,0
41,cloud,2
42,computing,0
43,cloud computing,0
44, big ,18
45,data,228
46,big data,0
47,artificial,5
48,intelligence,8
49,artificial intelligence,5
50,5g,14
51,3d,10
52,3d printing,0
53,printing,0
54,4d,1
55,4d printing,0
56,twin,50
57,digital twin,0
58,wearable,0
59,devices,2
60,wearable devices,0
61, ai ,0
62,communication,14
