,Data
0,lura screed buy concrete roller screed and machines for sale made in america home products form-a-curb motors roller screed packages accessories applications pervious sloped pours wide pours circular pours dealers blog contact us call us usa and international: +1701-281-8989 jobs you thought were impossible are just a screed away from possible previous next the lura screed: the only roller screed in the world that you can thread together for customization on any pour when it comes to flatwork concrete no job or pour is too big too small or too challenging for the lura screed from lura enterprises from jobsite to jobsite versatility is key to an effective piece of equipment – and this concrete roller screed the lura screed offers versatility and so much more proudly made in america see more see all videos see all better save time and labor with the lura screed system read more info and links information and links from lura enterprises read more read our blog blog articles about our business read more request a quote see our brochure innovation navigation home products dealers blog contact us privacy products form-a-curb motors roller screed packages accessories contact us lura enterprises inc 1230 north 41st street fargo nd 58102 ph usa and international: +1701-281-8989 opening hours monday thru friday 8 am to 5 pm cst follow us on copyright © 2023 lura enterprisespowered by: simple website creations inc
1,pervious concrete roller screed pervious concrete joint cutter and tools jobs you thought were impossible are just a screed away from possible pervious it’s beginning to seem that the entire world is going green with the lura screed and its line of pervious concrete finishing tools you’ll be ready to grow your own green business pervious concrete also known as “no fines” or “permeable” concrete allows water to flow through it making it ideal for storm water run-off control and earning leed certification in most cases features & benefits lightweight: because it can be filled with water lura screed is ideal when pouring pervious concrete each aluminum section weighs only 45 lbs and reaches 11 lbs when filled with water giving it ideal compressive weight this eliminates the need for sandbags or the addition of any extra weight; and because lura screed is 1/3 of the weight of most competitor units our system greatly reduces the risk of crew injuries it’s important for contractors to recognize that the weight of the screed itself doesn’t matter rather it’s the compressive weight of the system that makes a unit successful as long as the screed tube is resting on the forms and not floating crews can’t apply more pressure because the form will resist because it stays on the forms the lura screed system applies more pressure than competitor units because it stays on the forms exceptional cutting ability: but don’t think that lightweight translates to light work lura’s unique design provides exceptional cutting ability making it a true workhorse the riser wheels eliminate friction and make it easier to pull while its unique design and extraordinary cutting ability eliminate all unnecessary manpower convenience because pervious pours are done by panel riser wheels allow for more convenient application during fill-ins the riser wheels ensure that the only friction that exists is from the wet pervious concrete not the screed itself this eliminated friction translates to an easy to use system for virtually any operator durable: roller screeds are widely viewed as the best method to strike pervious concrete to avoid consolidating and is recommended by the nrmca the lura screed system compresses the pervious concrete tightens the aggregate and enhances the strenh and durability of the pervious concrete recommended by lura the following are accessories that enhance the success of pervious pours the cross roller: this roller is designed primarily for compaction and is used to create a more durable wear surface it’s applied as soon as the pervious concrete is leveled we’ve learned from years of experience that the right way to place pervious is by first elevating the screed tube and then rolling it down with the cross roller to compact the top surface this process is simple and effective the joint cutter: the joint cutter a weighted roller with a cutting wheel is used to put control joints into the pervious concrete soon after the cross roller is used this prevents cracking in weak areas custom cutters are available upon request to suit various thickness requirements adjustable curb runner: if pervious is being poured up against a sidewalk or a curb the adjustable curb runner might be necessary lura’s patented threaded axle design gives crews the flexibility to be right up against the edge eliminating a great deal of the hand finishing work that competitor systems leave behind painter’s plastic: lura incorporates painter’s plastic into their pervious curing process we do all the work – cross rolling and joint cutting over this plastic immediately after the concrete is struck off this method saves time and money while also increasing the success rate of the pour with pervious concrete it’s hugely important to get the poured concrete covered as quickly as possible the thin nature of the painter’s plastic allows it to stick to the cement paste creating a vacuum seal effect as an added security measure our team recommends placing 6-mil over the painter’s plastic the 6-mil is there to protect the painter’s plastic and ensure a proper concrete cure request a quote see our brochure innovation
2,sloped pours pouring concrete on a slope jobs you thought were impossible are just a screed away from possible sloped pours most paving equipment is designed to place concrete on fairly level surfaces but the world isn’t flat and sometimes structures such as canals or drainage channels require placing concrete on a slope the lurascreed is portable and lightweight making it ideal for uphill downhill and other sloped pours with competitive systems working on an incline or slope can be back breaking labor those systems often require striking off the concrete going up the slope causing operators to fight not only the weight and friction of the concrete they are striking off but also the force of gravity the lura screed eliminates that backbreaking labor we encourage contractors to use our system striking off going down hill and working with the force of gravity features & benefits productivity: with a lightweight design and enhanced features the lura screed enables striking off the pour traveling down the incline increasing productivity while decreasing crew sizes and maximizing profits uniformity: enhanced concrete uniformity will be evident with each use of the lura screed our roller screed systems mild compression leaves a smooth surface every time recommended by lura wet screed shoe: this feature allows crew to pour right next to wet concrete making the lura screed the only concrete roller screed that floats simply attach the wet screed shoe to the handle end in place of the wall plug and attach the ergonomic solid handle to give you total control for monolithic continuous or one day pours the wet screed shoe is irreplaceable center pin pivot and electric motor: certain applications such as retention ponds and water treatment ponds require a radius slope once a challenge that required placement by hand radius slopes are easy and efficient with the lura screed with the combination of our center pin pivot and electric motor contractors can use the roller screed to sweep sideways across the slope request a quote see our brochure innovation
3,wide concrete pouring screed large concrete pours large concrete slabs jobs you thought were impossible are just a screed away from possible wide pours the combination of the lura screed’s powerful gas motor and lightweight easy-to-use design make it the roller screed system of choice for large high volume pours with the flexible and customizable system included in our contractor package and additional extension tubes available for purchase the lura screed system easily manages concrete pours up to 40 feet wide while maintaining a precise and level concrete application there will be some deflection after 22 feet so in cases where a very flat pour is necessary wide pours are probably not the way to go however for some projects sloping or deflection isn’t going to affect the final outcome because of lura’s threaded axle system crews have the choice to power up both sides of the screed if necessary in order to tackle a large job quickly and efficiently features & benefits transportability: lura’s roller screed is lightweight and extremely portable it can be lifted by one man and transported in a truck without the need for an expensive job trailer versatility: the lura screeds patented threaded axle system accommodates any size of pour in a snap the individual sections can be combined to create the ideal lenh up to 40 feet recommended by lura tips for success: it’s important to remember that whenever possible operate your motor off the right side of the screed in doing so the natural action of the roller is always “tightening” those threads if you do move the motor to the left side use the t-handle wrench to adjust your set screws in this application the spinning of the screed will work to “loosen” the thread the set screw will ensure the screed connection stays firm and your crew should periodically check and tighten it as needed for pours wider than 24’ the lura team advises running a screed pipe down the middle of the pour to control any deflection request a quote see our brochure innovation
4,circular roller screed concrete pours roller screed pivot jobs you thought were impossible are just a screed away from possible circular pours the lura screeds aluminum design is lightweight yet rugged and capable of clear spanning over 24 feet and all the way to 32 feet with center pivot support with the lura screed circular pours are as easy as 1-2-3 and can be set-up in 10 minutes a base plate is set into the floor before pouring the lura screed is connected to a shaft placed in the base plate and a center pin is placed into the shaft center pin holds the screed to the concrete and allows for one-person circular screeding when finished the screed pin and shaft are removed and a small amount of concrete must be filled in the base plate remains in place under the concrete for crowned or flat circular pours 50ft/1524m or larger the lura screeds method to strike of circular pours larger than 50ft/1524m without deflection from center pin measure outwards 15ft/4572m pound in re-bar or wood stakes approximately 45’ft/ 13716m apart around the previously measured 15ft/4572m from center pin a second person will stand on the outside of the bin pulling the string tight to the outside form the first person will pound a stake to the appropriate height for yoke system the other end of the string is fastened to the center pin at the predetermined floor height for each additional stake elevation using a laser level instead of string will ensure accuracy this process will take 21-24 stakes/yokes lura enterprises recommends using only mako or megascreed yoke systems diagram for a large circular pour method pdf features & benefits efficient: circular pours are almost effortless using our center pivot on the inside and form runners on the outside of the screed contractors have reported being able to pour 30 foot bin floors with only a two-man crew user-friendly: the lightweight design and easy clean-up are just some of the many reasons our contractors prefer the lura screed competitive units often need multiple crew members with several hours and sometimes days of time spent on the set-up and cleaning process one man can easily set up or clean up our roller screeds in five minutes or less recommended by lura enterprises grain bin package each package includes the powerful and efficient 50cc honda gas motor screed section lenhs of 20 foot 12 foot 6 foot and 3 foot or 4 foot our 6 inch wall plug 3 collapsible tripod set-up stands 1/8 inch form runner grain bin bearing straight metal handle and the accessory tote in total this package offers everything needed for grain bin applications in one convenient bundle the beauty of this bundle is that crews can customize to just about any grain bin pour out there center pin pivot replaces the handle of the screed and is adjustable to both height and pitch this simple invention has revolutionized the way contractors do circular pours by allowing the center to be adjusted to the desired height while removing the need for a person to operate the non-motor side the form runner slides over any section of screed tube and rides between the rotation of the screed and the form preserving the life of the lura screed roller request a quote see our brochure innovation
5,lura screed concrete roller screed company learn about lura enterprises jobs you thought were impossible are just a screed away from possible about us experience after nearly 40 years in the concrete and construction industries dennis lura had seen just about every jobsite challenge and concrete pour imaginable through it all he recognized something was missing that “something” was a roller screed that could handle any pour while also being easy to operate and transport committed to providing the solution to heavy cumbersome roller screeds lura launched his own company with a mission to create a better way after years of tweaking and perfecting his design the worlds premier roller screed system the lura screed system was born ingenuity featuring a lightweight and ideally balanced yet rugged and durable design the lura screed takes the hassle out of roller screed operation while ensuring superior slabs every time our threaded axle system is the first of its kind making the lura screed the only roller screed in the world that can be coupled together expertise since its official launch in 2005 the lura screed has won multiple awards and been utilized on some of the most unique cutting-edge projects across the us and all over the world particularly notable is the lura screed’s superior performance on pervious concrete pours with the “green” movement gaining significant traction in recent years with continuing growth pervious or permeable concrete is becoming more popular – and in higher demand – than ever before with specialized pervious technicians on staff the lura screed has been designed with pervious concrete in mind providing the optimal cutting and compressing ability necessary for the perfect pervious pour no sandbags no manual pushing no extra work innovation our team at lura enterprises strives to always find a better way to do things and to keep innovating for our contractors the accessories and attachments created for the lura screed system serve to solve the daily obstacles contractors face what began as one contractor and a vision has quickly grown into one of the most innovative versatile and efficient roller screeds on the market today from curbs to circular sloped to side-by-side the lura screed system outshines all others and is the most efficient effective and easy-to-operate screed available any jobsite any application – every pour american made lura enterprises is proud to manufacture the lura screed in the heart of the midwest at our headquarters in fargo nd we manufacture and supply all screeds and components while providing extensive product support as well as responsive parts and service our team of experienced concrete professionals is available to consult on applications provide troubleshooting advice and help configure the right screed package for your specific needs request a quote see our brochure innovation
6,lura enterprises jobs you thought were impossible are just a screed away from possible video gallery request a quote see our brochure innovation
7,special information lura enterprises and the lura screed jobs you thought were impossible are just a screed away from possible dealers network offering sales in the united states and internationally read more read our blog blog articles about our business read more better save time and labor with the lura screed system read more info and links information and links from lura enterprises read more request a quote see our brochure innovation
8,lura screed helpful information and links jobs you thought were impossible are just a screed away from possible info and links below are some links to pertinent information regarding our products as always feel free to contact us to learn more as well pdf brochures lura screed - 2019 brochure instruction manual and diagrams important website links world of concrete national ready mixed concrete association nrmca us green building council - guide to leed certification pervious concrete work request a quote see our brochure innovation
9,request a quote get information about buying a lura screed jobs you thought were impossible are just a screed away from possible request a quote request a quote see our brochure innovation
