,Data
0,"Home - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Welcome to S-M Enterprises, Inc. S-M Enterprises, Inc. was founded in 1975 as a sheet metal fabrication shop in Moorhead, Minnesota, USA. Over the years we, have become the dust control, grain spouting, belt conveyor, and specialty fabrication experts for five continents and more than fifteen countries. In 2003, S-M acquired the R.R. Howell Company. We are now a leader in the bucket elevator and drag conveyor fields. Call us for all of your material handling, dust control, and specialty fabrication requirements. S-M Enterprises designs, builds, and assembles every piece of equipment in-house. We do not outsource any part of our fabrication process, from raw steel to finished product. Request A Quote What We Do Dust Control Drag Conveyors Bucket Elevators Grain & Feed Legs Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Learn More Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Close this module Now HiringWhether you’re a Welder, Drafter, Painter, or in Sales we are always eager to meet fresh talent! Apply TodayNo thanks, I’m not interested!"
1,"Products - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Our Products Dust Control We have on staff experienced salesmen who can design an efficient dust system to suit your needs. S-M makes all the Ductwork in house, along with Cyclones and Airlocks. Learn More Drag Conveyors Howell Ful-Flo Drag Conveyors are available in capacities from 500-50,000 BPH with chain speeds ranging from 55-190 FPM Learn More Grain & Feed Legs Howell Grain and Feed Legs are available in capacities from 500-60,000 BPH which is calculated at water level full in the cups. Learn More Industrial Duty Bucket Elevators Howell Industrial Elevators are available in capacities from 25-750 TPH. Learn More Spouting S-M Enterprises offers a full line of accessories for the transfer of grain. Learn More Belt Conveyors S-M offers a slider bed belt conveyor in capacities up to 5,000 BPH. Standard belt widths include 12”, 18”, 24” and 30”. Learn More Vibratory Conveyors S-M offers vibratory conveyors in capacities up to 3,000 BPH. The positive eccentric drive provides for safe and efficient transfer of fragile bulk materials. Learn More Custom Fabrication S-M offers custom fabrication services for all your special needs. Send us a drawing or call 218-236-5050 to tell us what you need. Learn More Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
2,"Dust Control - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Dust Control in Grain & Seed Elevators We have on staff experienced salesmen who can design an efficient dust system to suit your needs. S-M makes all the Ductwork in house, along with Cyclones and Airlocks. We are a supplier of Donaldson, MAC, and Camcorp Filters, Cyclones, and Airlocks. We supply fans from various manufacturers including Twin City Fan and New York Blower. Each job is designed specific based on drawings and/or requirements specified by the customer and is designed to meet all standards. Contact us at 218-236-5050 to talk with a salesman and discuss your specific ductwork and dust control needs. S-M also does custom pneumatic conveying of product and dust. Available Ductwork: Spiral Pipe through 44” diameter Smooth wall pipe in galvanized steel, carbon steel and stainless steel Elbows – 45 degree, 90 degree or special angles Tapers and reducing laterals Punched angle flanges Blastgates and bellmouths Dust hoods Flex hose Special transitions Fan outlets, weather hoods, and test port sections with service platforms Screw conveyors Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
3,"Drag Conveyors - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Howell Ful-Flo Drag Conveyors Howell Ful-Flo Drag Conveyors are available in capacities from 500-50,000 BPH with chain speeds ranging from 55-190 FPM. Our drag conveyors feature a three piece trough design made up of a bolted drop bottom and sides. All drag conveyors come with galvanized covers and clamps. The chain can be steel flighted or UHMW plastic flighted. They are able to run at 0-7 degrees using standard flighted chain, 7.1-15 degrees with high flight chain, and 15.1-45 degrees using paddle flighted chain. Drag Conveyor sizes range from 8”-32” wide x 10”-30” high. Howell guarantees capacity with the least amount of product damage with minimal maintenance. Ful-Flo Drag Conveyors are available in painted mild steel, stainless steel, and galvanized. S-M Enterprises works around Moorhead, Fargo, Alexandria, and Grand Forks. We look forward to building the drag conveyor that fits your elevator and equipment needs. Request Quote Download Manual I Series I Drag Conveyors Series I Drag conveyors come in 10”, 14”, and 18” heights and 8”, 12”, 16”, 20”, 24”, 30”, and 32” widths. Series I Conveyors use 81X or 81XH chain depending on the size. All Series I Conveyors will have 1½” flanges. Series I Conveyors range from 500-20,000 BPH. Series I Head Section Series I Head Sections are constructed with 7 ga. material. They can have either flange or pillow block bearings, and use a keyed shaft and sprocket. They also feature a slack chain device, and plug switch. The Head section may have 8” take-ups if there is no room for them on the tail section. Series I Trough Section Series I Trough Sections are available with 7 ga., 1/4”, or 3/8” Abrasive Resistant steel bottom, or UHMW plastic lined mild steel 10 ga. bottom. Side liners include 10 ga., 7 ga., or ¼” Abrasive Resistant Steel or UHMW plastic. Howell conveyors use return rail with UHMW plastic on which the chain returns to head, wider conveyors will also use tip rails to prevent the chain from twisting during conveying. Series I Detector Tail Section Series I Detector Tail Sections are constructed with 10 ga. material, and use flange bearings. Detector Tails utilize compression spring at the ends of the take ups to automatically take out slack from the chain during operation. This eliminates the need to manually tension the chain. This automatic style of take up also utilizes a shut off switch so that if the conveyor gets jammed or plugged it will immediately shut down the conveyor, preventing extensive damage. The same is true if the chain becomes too loose. If there is a clearance issue a standard tail must be used. *Detector Tails are only available on conveyors with an incline less than 15 degrees* Series I Tail Section Series I Tail Sections are constructed with 10 ga. material. They can have either flange or roller pillow block bearings. Tails will have 8” take-ups for tensioning. If there is a clearance issue they can be mounted on the head or reversed upon customer request. In this case the tail becomes an idler box. In some cases the tail may have the drive. II Series II Tail Section Series II Tail Sections are constructed with 10 ga. or 7 ga. material. They can have either flange or pillow block bearings. Tails will have 8” take-ups for tensioning. If there is a clearance issue they can be mounted on the head or reversed upon customer request. In this case the tail becomes an idler box. In some cases the tail will have the drive. III DRAG CONVEYOR ACCESSORIES Discharge Transition Discharge transitions are made from 10 ga. material and can be made to go from the head or intermediate discharge flange down to any desired size square or round. Transitions can be lined with Abrasion Resistant Steel, Ceramic, or Urethane. Head Shut-off Gate Head shut-off gates are made of 10 ga. material and can be manually operated with the use of a cable, chain or hand wheel, or they can be electrically operated. Intermediate Discharge Gate Intermediate discharge gates are made of 10 ga. material and can be manually operated with the use of a cable, chain or hand wheel, or they can be electrically operated. Knee Bend Section Knee bend sections are designed to incline a drag conveyor after it runs horizontal. This is to get the desired discharge height without inclining the entire conveyor. They can incline 5-45 degrees depending on what is needed. They are constructed from the same material as the trough. Bypass Inlet Bypass inlets can be a variety of different sizes. They are available with grating for use as a dump pit, or with a companion flange. The purpose of the bypass inlet is to direct the product around the returning chain with the use of a hogback, and enter the conveyor through the sides. This allows the conveyor to be flood fed without plugging because the bypass inlet only allows what the conveyor can handle. This is ideal for truck or rail receiving pits, or for reclaiming storage bins. Standard Inlet Standard inlets are field installed where product is to enter the conveyor. They include a hogback to divert the product over the chain and return rail. Combo Inlet Gate Combo inlet gates are much like a standard inlet, except they have a door that can be closed to shut-off product flow into the conveyor. These can be manually operated with the use of a cable, chain or hand wheel, or they can be electrically operated. Ladder Inlet Gate Ladder inlet gates allow controlled flow of product into a conveyor which allows the conveyor to be flood fed. These can be manually operated with the use of a cable, chain or hand wheel, or they can be electrically operated. Heat Sensors and Speed Monitors Upon customer request bearing heat sensors and shaft speed sensors can be installed. Request Drag Conveyor Quote Name First Last Company Name PhoneEmail Address Street Address Address Line 2 City State ZIP Code Material to be conveyed CapacityBPH CFH TPH MTPH LengthStraight OAL Degree Incline S Curve Horizontal Inclined 17 Degree S Curve 23 Degree S Curve Center Drive C/L Discharge to C/L Discharge AccessoriesTop Covers Yes No Discharge Spout to RD SQ Rubber Lining Yes No Skirting Yes No Standard Inlets Bottom Cover Yes No Additional Notes Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
4,"Grain and Feed Legs - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Howell Grain and Feed Legs Howell Grain and Feed Legs are available in capacities from 500-60,000 BPH which is calculated at water level full in the cups. However the cups will hold five degrees over that level and the capacity may be based on that. Howell legs use an adjustable shroud to control airflow, and to center grain flow in the discharge. This can increase your facilities profit by reducing grain damage caused by pre discharging and down legging. We pride ourselves on the durability, strength and low maintenance of our legs, which are available in painted mild steel, stainless steel, and galvanized steel, and also include abrasive resistant wear points. S-M Enterprises works around Moorhead, Fargo, Alexandria, and Grand Forks. We look forward to building the grain and feed legs that fits your elevator and equipment needs. Download Manual Leg Head The Howell head section is constructed with 10 ga. base and a 12 ga. two piece hood design. The head is designed with reinforcement to withstand the extreme torque that drive components produce. Each head section uses two or four bolt roller pillow block bearings with an adjustment bolt to provide easy shimming to achieve proper alignment of the lagged crowned pulley. Abrasive Resistant steel, ceramic, or urethane liners are also available in three different patterns depending on the desired amount of wear protection. 5-30 hp legs use a universal motor mount, while 40+ hp uses a motor specific mount which uses adjustment bolts. The base section has a weather proof inspection door for inspecting the pulley. There is also a weather proof maintenance door for servicing the discharge spout. The hood has a relief door on top, and inspection door to check for proper discharging. Howell legs also use an adjustable shroud to fine tune the grain flow which allows maximum capacity of the leg. Leg Casing Howell leg casing is constructed with 12 ga. or 10 ga. and either 1½” or 2” flanges depending on the size of the leg. Each 10’ section of leg is made up of a down leg and an up leg which is supported to each other with tie braces. There is also an inspection section that has a 5’ door for installing belt and cups, and an inspection door to check that cups are filling properly. This inspection section is constructed with 10 ga. or 7 ga. depending on the size of the leg. Explosion panels are also available upon request. Leg Boot The Howell Boot section is constructed with 7 ga. or ¼” depending on the size of the leg. The boot uses four bolt flange bearings with 12” travel screw type take ups to adjust belt tension and uses a crowned or winged pulley. The boot uses an inlet that is mounted at or above the center line of the pulley for optimal performance. The boot is a completely bolt together design. Howell also makes a Back Leg Roll, which is used when there is minimal space to install a leg. This allows the boot to use a smaller pulley than the head to decrease its size. Leg Platforms, Ladder, and Cage Howell also offers Head Service Platforms, Distributor Platforms, and Rest Platforms as options, which easily mount to the casing. The ladder and cage is supplied with brackets to attach to the tie braces on each leg casing. Heat Sensors and Speed Monitors Upon customer request bearing heat sensors and shaft speed sensors can be installed. Legs also are available with belt alignment sensors. Explosion Suppression Explosion suppression is available on all Legs upon customer request. This can greatly reduce damage and injury as the result of a dust explosion. Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
5,"Industrial Duty Bucket Elevators - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Industrial Duty Bucket Elevators Howell Industrial Elevators are available in capacities from 25-750 TPH. Industrial Elevators are typically built with heavier gauge steel and extra structural components to insure maximum structural integrity when handling heavier density and more abrasive bulk materials. Industrial Elevators are available in painted mild steel, stainless steel, and galvanized steel. They also include abrasive resistant wear points. S-M Enterprises works around Moorhead, Fargo, Alexandria, and Grand Forks. We look forward to building the industrial duty bucket elevators that fits your product transportation and processing needs. Request Quote Elevator Head Section The Howell Industrial head section base is usually constructed of 10 ga., 7 ga. or 1/4”, and the two piece hood design is made from at least 10 ga. The head is designed with reinforcement to withstand the extreme torque that drive components produce. Each head section uses four bolt roller pillow block bearings with an adjustment bolt to provide easy shimming to achieve proper alignment of the lagged pulley. Abrasive Resistant steel, ceramic, or urethane liners are also available in three different patterns depending on the desired amount of wear protection. Industrial Elevator heads use a fixed motor mount. The base section has a weather proof inspection door for inspecting pulley and a weather proof maintenance panel for servicing the discharge spout. The throat utilizes an adjustable high durometer wiper for product control. The hood has an inspection door to check for proper discharge. Elevator Intermediate Casing Howell Industrial Elevators intermediates are constructed with 10 ga., 7 ga., or ¼” and have 2”, 2 1/2” or 3” flanges and vertical stiffeners on the corners depending on the size of the elevator. Industrial Elevators use a single trunk that houses the upside and downside belt and cups. There is also an inspection section that has a 5’ door for installing belt and cups, and an inspection door to check that cups are filling properly. This inspection section is constructed with 7 ga. or ¼” depending on the size of the elevator. Elevator Boot Section The Howell Industrial Boot section is constructed with 1/4” or 3/8” depending on the size of the elevator. The boot uses four bolt flange or 4 bolt roller pillow block bearings with adjustable travel screw type take ups to adjust belt tension and uses a winged pulley. There are two bottom cleanouts and an inspection door. The boot uses an inlet feed at or above the center line of the pulley in the highest take-up position for optimal performance. The boot is a completely bolt together design. Elevator Platforms, Ladder, and Cage Howell also offers Head Service Platforms and Rest Platforms as options, which easily mount to the casing. The OSHA ladder and cage is supplied with brackets that also attach to the elevator casing. Heat Sensors and Speed Monitors Upon customer request bearing heat sensors and shaft speed sensors can be installed. Elevators also are available with belt alignment sensors. Request Quote Print Request Form Instead Name First Last Company Name PhoneEmail Address Street Address Address Line 2 City State ZIP Code Material to be conveyed CapacityBPH CFH TPH MTPH Discharge Height LiningAR Urethane Ceramic Pattern #1 - Head and Bonnet Front #2- Head Side and Front, Bonnet Front #3 - Head Side and Front, Bonnet Side and Front AccessoriesHead Service Platform Yes No Ladder & Cage (ft) Distributor Service Platform Yes No Standard Inlets Rest Platforms Explosion Panels Yes No Additional Notes Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
6,"Spouting - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Spouting Parts for Grain Transfer Flopper Valve Manual S-M Enterprises offers a full line of accessories for the transfer of grain. We build and keep in stock most of the common types of accessories including: Welded seam square spouting Removable cover square spouting Square elbows Square angle and flat flanges Round angle and flat flanges Two piece flange clamps Square to round adapters and top hat connectors Round to round adapters Two piece adjustable elbows Adjustable deadstops Telescoping sections Weld bands Rack and pinion slide gates-manual and electric Air actuated gates Economy rack and pinion slide gate Two way valves-basket and flopper style Clam gates Three way valves Rack and pinion two way valves Control wheels, hothouse pulleys and side pulleys Transfer spouts Bean spouts Bean ladders-center mount and wall mount Ladder and safety cage S-M can also make any custom spout accessory you may need including hoppers of any size, custom loadout spouts, and special transitions. Call us at 218-236-5050 to talk to a salesman about available accessories. We work with clients through the Moorhead area, including Fargo, Grand Forks, Hutchinson, and Alexandria. Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
7,"Belt Conveyors - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Belt Conveyors Low-Capacity Slider Bed S-M offers a slider bed belt conveyor in capacities up to 5,000 BPH. Standard belt widths include 12”, 18”, 24” and 30”. Standard conveyor construction is carbon steel with an industrial enamel finish. Stainless steel construction is available for fertilizer or food applications. Request Quote Download Manual S-M offers a slider bed belt conveyor in capacities up to 5,000 BPH. Standard belt widths include 12”, 18”, 24” and 30”. Standard conveyor construction is carbon steel with an industrial enamel finish. Stainless steel construction is available for fertilizer or food applications. Available options include: Rubber or PVC belting Smooth or C-top belting Top and bottom covers Skirting from cover to belt Discharge spout Lining Self cleaning tail pulley S-M Enterprises works around Moorhead, Fargo, Alexandria, and Grand Forks. We look forward to building the belt conveyor that fits your elevator and equipment needs. High-Capacity Roller Bed Contact us for more information on this new product! Request Belt Conveyor Quote Name First Last Company Name PhoneEmail Address Street Address Address Line 2 City State ZIP Code Material to be conveyed CapacityBPH CFH TPH MTPH LengthStraight OAL Degree Incline S Curve Horizontal Inclined 17 Degree S Curve 23 Degree S Curve Center Drive C/L Discharge to C/L Discharge AccessoriesTop Covers Yes No Discharge Spout to RD SQ Rubber Lining Yes No Skirting Yes No Standard Inlets Bottom Cover Yes No Additional Notes Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
8,"Custom Fabrication - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Custom Fabrication for Seed & Grain Elevators S-M offers custom fabrication services for all your special needs. Send us a drawing or call 218-236-5050 to tell us what you need. Custom bins and hoppers Receiving hoppers Structures Platforms Stairs and landings Special transitions Replacement cones Laser cutting Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
9,"Vibratory Conveyors - S-M Enterprises, Inc. | Howell Skip to main content Hit enter to search or ESC to close Close Search Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote Menu Vibratory Conveyors Download Manual S-M offers vibratory conveyors in capacities up to 3,000 BPH. The positive eccentric drive provides for safe and efficient transfer of fragile bulk materials. The vibrating motion moves materials gently keeping abrasion and breakage to a minimum. Available options include: Top covers Side discharge Bottom discharge Divided pan Screens Elevated base Contact us at 218-236-5050 to talk with a salesman and discuss your specific vibrating conveyor needs. Need a quote for a Conveyor or Elevator? Request A Quote Product Manuals Patents Request A Quote © 2023 S-M Enterprises, Inc. | Howell. | Created by Off The Wall Advertising | Privacy Policy Close Menu Products Dust Control Drag Conveyors Grain and Feed Legs Industrial Duty Bucket Elevators Spouting Belt Conveyors Custom Fabrication Vibratory Conveyors Services About Careers Contact Us Request A Quote"
