,Data
0,"Home - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search ABOUT US OUR STORY FRESH FROM THE FARM Since 1935, Cass-Clay Creamery has been providing fresh and delicious dairy products to families in North Dakota and surrounding areas. We start with the freshest milk from local farms and manufacture a full line of milks, premium ice cream, sour cream, cottage cheese, and more. Our manufacturing facility is located in Fargo, North Dakota. 190 employees proudly work to make sure your family can enjoy wholesome and delicious Cass-Clay dairy products. FEATURED RECIPE PROTEIN POWER STRAWBERRY SMOOTHIE Power up with this protein packed smoothie! LEARN MORE RECIPES OUR PRODUCTS WHAT’S FRESH OVER 80 YEARS OF FRESHNESS For generations, Cass-Clay Creamery has proudly produced only the freshest dairy products. Delivering them from local family farms to your family kitchen. OUR MILK OUR ICE CREAM OUR BEVERAGES OUR YOGURT OUR BUTTER & SPREADS OUR COTTAGE CHEESE OUR SOUR CREAM & DIPS TALK TO US ORDER ONLINE HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
1,"Spooktacular Goodness - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Witch’s Hat Chocolate MILKshake Click here for recipe. Spooky Cake MILKshake Click here for recipe. Monster Mania MILKshake Click here for recipe. Mummy Chocolate Milk Supplies: – Adhesive gauze tape – Self-adhesive craft “googly eyes” – Tall clear glass – Decorative paper straw – Real Chocolate Milk Instructions: 1. Stick two googly eyes to the side of the glass. 2. Wrap glass with gauze (make sure the eyes peek out from behind the “dressing.” 3. Pour chocolate milk in the glass, add a decorative straw and enjoy! Jug-O-Lantern Supplies: – Empty milk gallon jugs – Black marker – Box cutter or scissors – LED flameless tea lights Instructions: 1. Draw spooky face on empty milk jug. 2. Cut out square shape on opposite side of the face on the milk jug. 3. Place a tea light inside and display at night in the dark. Milk Jug Skeleton Click here for instructions. Baked Pumpkin French Toast Click here for recipe. Pumpkin Pancakes with Caramelized Banana & Golden Rum Raisins Click here for recipe. Chocolate Pumpkin Pancakes Click here for recipe. Milk Jug Witch Click here for instructions. Supplies: – Empty milk gallon jug – Green spray paint – Green & Black acrylic paint – Wire hanger – Wire tomato cage – Duct tape – Black plastic rectangle tablecloth – Hot glue gun & hot glue sticks HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
2,"Swiss Chocolate 2% Reduced Fat Milk (Gallon) - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Home Beverages Swiss Chocolate 2% Reduced Fat Milk (Gallon) Swiss Chocolate 2% Reduced Fat Milk (Gallon) Creamy chocolate flavored reduced fat milk. Deliciously rich in protein and calcium. Categories: Beverages, Milk Description Description Ingredients: REDUCED FAT MILK, SUGAR, COCOA (PROCESSED WITH ALKALI), DEXTROSE, CORNSTARCH, SALT, CARRAGEENAN, NATURAL FLAVOR, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK Nutrition Facts Serving Size 1 Cup (236mL) Calories: 200 Amount/Serving % Daily Value* Total Fat 5g 6% Saturated Fat 3g 15% Trans Fat 0g Cholesterol 20mg 7% Sodium 200mg 9% Total Carbohydrates 30g 11% Dietary Fiber 1g 4% Total Sugars 28g Includes 17g Added Sugar 34% Protein 9g Vitamin A 15% Vitamin D 10% Calcium 25% Iron 6% Potassium 10% Related products Read more Buttermilk 1% (Pint) Read more Swiss Chocolate 2% Reduced Fat Milk (Quart) Read more Fat Free Skim Milk (Half Pint) Read more Buttermilk 1% (Half-Gallon) HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
3,"Protein Power Strawberry Smoothie - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Cottage CheeseMilk Protein Power Strawberry Smoothie June 29, 2017April 15th, 2020No Comments Power up the new year with this protein packed smoothie! INGREDIENTS 2 ice cubes 1 cup Cass-Clay Milk 1/3 cup Cass-Clay Cottage Cheese 2/3 cup frozen strawberries 1 tsp. vanilla extract 1 1/2 tsp. sugar INSTRUCTIONS Blend all ingredients for 45-60 seconds until smooth. Pour smoothie into glass and enjoy! Previous PostCauliflower Skins Next PostGlazed Cinnamon Rolls (seen on Valley Live) Related Posts EggMilk Homemade Banana Pudding October 2, 2023 ButterEggMilkWhipping Cream Caramel Tarts October 2, 2023 ButterIce CreamMilk Apple Pie October 2, 2023 HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
4,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing 1–12 of 29 results Home Products show blocks helper Milk Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(7) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(22) Fat Content + 1%(5) 2%(12) 4%(0) Fat Free(7) Reduced Fat(12) Whole(5) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(5) Gallon(5) Half Gallon(5) Half Pint(6) Pint (16oz)(3) Quart (32oz)(5) Square (56oz)(0) Organic + Organic(0) Reset Read more Whole Milk (Gallon) Read more Whole Milk (EZ Grip 97oz.) Read more Whole Milk (Half Gallon) Read more Whole Milk (Quart) Read more 2% Reduced Fat Milk (Gallon) Read more 2% Reduced Fat Milk (EZ Grip 97oz.) Read more 2% Reduced Fat Milk (Half Gallon) Read more 2% Reduced Fat Milk (Quart) Read more 2% Reduced Fat Milk (Pint) Read more 1% Lowfat Milk (Gallon) Read more 1% Lowfat Milk (EZ Grip 97oz.) Read more 1% Lowfat Milk (Half Gallon) 1 2 3 Next Product Filter show blocks helper Milk Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(7) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(22) Fat Content + 1%(5) 2%(12) 4%(0) Fat Free(7) Reduced Fat(12) Whole(5) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(5) Gallon(5) Half Gallon(5) Half Pint(6) Pint (16oz)(3) Quart (32oz)(5) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
5,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing 1–12 of 15 results Home Products show blocks helper Ice Cream Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(3) Chocolate(6) Chocolate Milk(0) Coffee(0) Cookies/Candy(5) French Onion(0) Fruit(2) Jalapeño(0) Nuts(1) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(8) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(5) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(5) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(9) Organic + Organic(0) Reset Read more Bison Crunch Ice Cream (1.5 qt.) Read more Chocolate Chip Cookie Dough Ice Cream (1.5 qt.) Read more Chocolate Chip Ice Cream (1.5 qt.) Read more Cookies ‘n Cream Ice Cream (1.5 qt.) Read more Maple Nut Ice Cream (1.5 qt.) Read more Rocky Road Ice Cream (1.5 qt.) Read more Strawberry Ice Cream (1.5 qt.) Read more Neapolitan Ice Cream (1.5 qt.) Read more Turtle Caramel Cluster Ice Cream (1.5 qt.) Read more Vanilla Ice Cream (1.5 qt.) Read more Chocolate Reduced Fat Ice Cream (128 oz.) Read more Cookies and Cream Reduced Fat Ice Cream (128 oz.) 1 2 Next Product Filter show blocks helper Ice Cream Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(3) Chocolate(6) Chocolate Milk(0) Coffee(0) Cookies/Candy(5) French Onion(0) Fruit(2) Jalapeño(0) Nuts(1) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(8) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(5) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(5) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(9) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
6,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing 1–12 of 33 results Home Products show blocks helper Beverages Juice Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(7) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(22) Fat Content + 1%(5) 2%(12) 4%(0) Fat Free(7) Reduced Fat(12) Whole(5) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(5) Gallon(6) Half Gallon(6) Half Pint(6) Pint (16oz)(4) Quart (32oz)(6) Square (56oz)(0) Organic + Organic(0) Reset Read more Whole Milk (Gallon) Read more Whole Milk (EZ Grip 97oz.) Read more Whole Milk (Half Gallon) Read more Whole Milk (Quart) Read more 2% Reduced Fat Milk (Gallon) Read more 2% Reduced Fat Milk (EZ Grip 97oz.) Read more 2% Reduced Fat Milk (Half Gallon) Read more 2% Reduced Fat Milk (Quart) Read more 2% Reduced Fat Milk (Pint) Read more 1% Lowfat Milk (Gallon) Read more 1% Lowfat Milk (EZ Grip 97oz.) Read more 1% Lowfat Milk (Half Gallon) 1 2 3 Next Product Filter show blocks helper Beverages Juice Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(7) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(22) Fat Content + 1%(5) 2%(12) 4%(0) Fat Free(7) Reduced Fat(12) Whole(5) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(5) Gallon(6) Half Gallon(6) Half Pint(6) Pint (16oz)(4) Quart (32oz)(6) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
7,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search ProductsHome Products No products were found matching your selection. Product Filter show blocks helper Yogurt Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(0) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
8,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing all 2 results Home Products show blocks helper Butter Beverages(33) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(0) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(2) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Read more Butter (1 lb.) Read more Butter (1 lb.) Product Filter show blocks helper Butter Beverages(33) Buttermilk(3) Cottage Cheese(6) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(0) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(0) 1lb(2) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
9,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing all 6 results Home Products show blocks helper Cottage Cheese Beverages(33) Butter(2) Buttermilk(3) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(1) 2%(2) 4%(2) Fat Free(1) Reduced Fat(0) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(2) 1lb(0) 22oz(4) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Read more (22 oz.) 4% Cottage Cheese Read more (16 oz.) 4% Cottage Cheese Read more (22 oz.) 2% Lowfat Cottage Cheese Read more (16 oz.) 2% Cottage Cheese Read more (22 oz.) 1% Lowfat Cottage Cheese Read more (22 oz.) Fat Free Cottage Cheese Product Filter show blocks helper Cottage Cheese Beverages(33) Butter(2) Buttermilk(3) Dip(2) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Sour Cream(2) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(0) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(1) 2%(2) 4%(2) Fat Free(1) Reduced Fat(0) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(2) 1lb(0) 22oz(4) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(0) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
10,"Products Archive - Cass-Clay® Creamery Skip to main content Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT Press enter to begin your search Close Search Products Default sorting Sort by popularity Sort by latest Sort by price: low to high Sort by price: high to low Showing all 4 results Home Products show blocks helper Dip Sour Cream Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(2) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(1) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(3) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(1) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Read more Sour Cream (16 oz.) Read more Sour Cream Light (16 oz.) Read more French Onion Dip (8 oz.) Read more French Onion Dip (16 oz.) Product Filter show blocks helper Dip Sour Cream Beverages(33) Butter(2) Buttermilk(3) Cottage Cheese(6) Half & Half(2) Ice Cream(15) Juice(3) Milk(29) Whipping Cream(2) Yogurt(0) Flavors Cake(0) Caramel(0) Chocolate(0) Chocolate Milk(0) Coffee(0) Cookies/Candy(0) French Onion(2) Fruit(0) Jalapeño(0) Nuts(0) Onion & Bacon(0) Original(0) Other(0) Peanut Butter(0) Ranch(0) Taco Fiesta(0) Vanilla(0) White Milk(0) Fat Content + 1%(0) 2%(0) 4%(0) Fat Free(0) Reduced Fat(1) Whole(0) Sizes + 12 Pack(0) 12oz(0) 16oz(3) 1lb(0) 22oz(0) 24 Pack(0) 24oz(0) 32oz(0) 4 Quarts(0) 54oz(0) 5lb(0) 8oz(1) 97oz(0) Gallon(0) Half Gallon(0) Half Pint(0) Pint (16oz)(0) Quart (32oz)(0) Square (56oz)(0) Organic + Organic(0) Reset Filter HOW TO FIND US 701.293.6455 200 20th St. N. Fargo, ND 58102 QUICK LINKS About Food Service Careers Product Ordering Products Recipes © 2023 Cass-Clay® Creamery. Kemps LLC | Privacy Policy | Terms of Use | California Supply Chains Act Website Created by Off The Wall Advertising facebookinstagram Close Menu PRODUCTS RECIPES FOOD SERVICE ABOUT NEWS CAREERS CONTACT [custom-facebook-feed]"
